width, height, channel= 37 30 3 LAMP, LAPV, TENG, GLVN= 15.823    188.29    13086.059 18.9     
width, height, channel= 45 40 3 LAMP, LAPV, TENG, GLVN= 21.539    899.128   28843.262 42.924   
width, height, channel= 51 34 3 LAMP, LAPV, TENG, GLVN= 24.721    602.885   19827.161 19.776   
width, height, channel= 35 33 3 LAMP, LAPV, TENG, GLVN= 22.975    577.701   22931.939 13.854   
width, height, channel= 35 37 3 LAMP, LAPV, TENG, GLVN= 27.649    821.431   29285.121 18.587   
width, height, channel= 23 16 3 LAMP, LAPV, TENG, GLVN= 23.399    647.825   27132.663 19.996   
width, height, channel= 41 31 3 LAMP, LAPV, TENG, GLVN= 21.416    561.219   22273.155 22.468   
width, height, channel= 30 21 3 LAMP, LAPV, TENG, GLVN= 22.451    710.158   17097.508 18.539   
width, height, channel= 26 29 3 LAMP, LAPV, TENG, GLVN= 25.265    629.351   35958.011 22.292   
width, height, channel= 20 23 3 LAMP, LAPV, TENG, GLVN= 23.43     573.531   35820.691 26.719   
width, height, channel= 29 29 3 LAMP, LAPV, TENG, GLVN= 20.768    429.702   18125.337 14.793   
width, height, channel= 34 28 3 LAMP, LAPV, TENG, GLVN= 17.724    325.853   11570.542 8.087    
width, height, channel= 116 96 3 LAMP, LAPV, TENG, GLVN= 13.579    471.017   17790.586 32.725   
width, height, channel= 58 56 3 LAMP, LAPV, TENG, GLVN= 28.305    1038.568  35820.46  41.673   
width, height, channel= 22 13 3 LAMP, LAPV, TENG, GLVN= 12.437    109.29    23670.294 59.029   
width, height, channel= 39 45 3 LAMP, LAPV, TENG, GLVN= 26.333    686.472   29675.33  32.789   
width, height, channel= 106 116 3 LAMP, LAPV, TENG, GLVN= 11.108    276.475   14223.937 48.911   
width, height, channel= 48 39 3 LAMP, LAPV, TENG, GLVN= 23.659    510.235   24959.69  18.484   
width, height, channel= 56 52 3 LAMP, LAPV, TENG, GLVN= 14.216    247.125   7593.508  26.615   
width, height, channel= 60 47 3 LAMP, LAPV, TENG, GLVN= 23.687    603.023   25577.501 22.61    
width, height, channel= 42 42 3 LAMP, LAPV, TENG, GLVN= 31.472    1019.111  32058.782 23.113   
width, height, channel= 39 32 3 LAMP, LAPV, TENG, GLVN= 26.696    711.703   29001.362 32.02    
width, height, channel= 31 24 3 LAMP, LAPV, TENG, GLVN= 27.283    807.393   33548.653 25.43    
width, height, channel= 19 21 3 LAMP, LAPV, TENG, GLVN= 48.807    1877.24   67655.664 23.103   
width, height, channel= 18 17 3 LAMP, LAPV, TENG, GLVN= 53.074    1513.368  57794.49  23.288   
width, height, channel= 44 41 3 LAMP, LAPV, TENG, GLVN= 32.267    932.13    37016.652 44.886   
width, height, channel= 38 34 3 LAMP, LAPV, TENG, GLVN= 33.65     841.257   49559.204 42.257   
width, height, channel= 27 27 3 LAMP, LAPV, TENG, GLVN= 35.018    956.231   33752.892 24.012   
width, height, channel= 11 13 3 LAMP, LAPV, TENG, GLVN= 61.79     2179.657  68339.538 22.907   
width, height, channel= 17 13 3 LAMP, LAPV, TENG, GLVN= 47.253    1604.101  48230.335 24.296   
width, height, channel= 59 35 3 LAMP, LAPV, TENG, GLVN= 25.334    794.78    33925.446 30.603   
width, height, channel= 42 32 3 LAMP, LAPV, TENG, GLVN= 17.819    381.63    30133.094 24.672   
width, height, channel= 40 32 3 LAMP, LAPV, TENG, GLVN= 11.444    127.943   16471.778 22.981   
width, height, channel= 31 25 3 LAMP, LAPV, TENG, GLVN= 8.298     61.759    8850.852  20.486   
width, height, channel= 31 24 3 LAMP, LAPV, TENG, GLVN= 10.474    120.215   12186.962 16.903   
width, height, channel= 41 32 3 LAMP, LAPV, TENG, GLVN= 10.928    148.826   15443.366 26.164   
width, height, channel= 43 33 3 LAMP, LAPV, TENG, GLVN= 14.631    137.42    22891.949 26.232   
width, height, channel= 63 36 3 LAMP, LAPV, TENG, GLVN= 27.386    1083.359  29731.936 43.425   
width, height, channel= 32 26 3 LAMP, LAPV, TENG, GLVN= 9.93      130.26    16898.536 27.369   
width, height, channel= 340 269 3 LAMP, LAPV, TENG, GLVN= 18.019    531.046   10972.889 24.488   
width, height, channel= 120 91 3 LAMP, LAPV, TENG, GLVN= 7.989     78.799    4639.018  15.634   
width, height, channel= 22 25 3 LAMP, LAPV, TENG, GLVN= 36.895    962.901   42103.949 39.091   
width, height, channel= 23 22 3 LAMP, LAPV, TENG, GLVN= 35.867    1006.973  44007.391 48.152   
width, height, channel= 13 14 3 LAMP, LAPV, TENG, GLVN= 51.849    1393.311  45850.923 28.974   
width, height, channel= 14 14 3 LAMP, LAPV, TENG, GLVN= 44.196    1189.39   31112.765 20.431   
width, height, channel= 11 12 3 LAMP, LAPV, TENG, GLVN= 35.527    883.538   16741.015 15.34    
width, height, channel= 159 156 3 LAMP, LAPV, TENG, GLVN= 11.391    288.307   7676.539  21.986   
width, height, channel= 54 53 3 LAMP, LAPV, TENG, GLVN= 26.813    719.28    19168.122 29.144   
width, height, channel= 43 29 3 LAMP, LAPV, TENG, GLVN= 22.857    529.028   21322.085 27.613   
width, height, channel= 55 50 3 LAMP, LAPV, TENG, GLVN= 21.16     441.956   15165.297 24.964   
width, height, channel= 41 37 3 LAMP, LAPV, TENG, GLVN= 23.157    441.974   18848.169 31.466   
width, height, channel= 32 27 3 LAMP, LAPV, TENG, GLVN= 21.653    349.693   23458.201 20.673   
width, height, channel= 29 28 3 LAMP, LAPV, TENG, GLVN= 25.66     400.236   26811.197 19.415   
width, height, channel= 23 19 3 LAMP, LAPV, TENG, GLVN= 28.191    662.186   34011.895 17.826   
width, height, channel= 23 23 3 LAMP, LAPV, TENG, GLVN= 24.885    428.834   37922.805 28.178   
width, height, channel= 17 15 3 LAMP, LAPV, TENG, GLVN= 23.382    621.567   30360.824 25.52    
width, height, channel= 16 15 3 LAMP, LAPV, TENG, GLVN= 24.508    554.291   30300.433 17.436   
width, height, channel= 15 15 3 LAMP, LAPV, TENG, GLVN= 33.158    1487.564  46035.769 22.404   
width, height, channel= 12 13 3 LAMP, LAPV, TENG, GLVN= 28.481    674.833   43415.769 20.893   
width, height, channel= 12 13 3 LAMP, LAPV, TENG, GLVN= 23.189    471.256   23539.641 12.831   
width, height, channel= 10 14 3 LAMP, LAPV, TENG, GLVN= 41.211    1402.692  55971.871 26.36    
width, height, channel= 8 10 3 LAMP, LAPV, TENG, GLVN= 30.194    678.044   30361.225 12.135   
width, height, channel= 37 37 3 LAMP, LAPV, TENG, GLVN= 21.668    432.473   15587.549 14.844   
width, height, channel= 26 27 3 LAMP, LAPV, TENG, GLVN= 29.257    598.471   19722.239 12.156   
width, height, channel= 25 22 3 LAMP, LAPV, TENG, GLVN= 33.29     516.933   27200.687 13.804   
width, height, channel= 23 23 3 LAMP, LAPV, TENG, GLVN= 26.892    548.461   33990.537 27.61    
width, height, channel= 29 28 3 LAMP, LAPV, TENG, GLVN= 26.335    386.462   14985.197 9.784    
width, height, channel= 20 18 3 LAMP, LAPV, TENG, GLVN= 28.419    563.163   23964.356 15.782   
width, height, channel= 34 34 3 LAMP, LAPV, TENG, GLVN= 15.481    229.898   7199.651  17.579   
width, height, channel= 29 43 3 LAMP, LAPV, TENG, GLVN= 9.964     81.318    4164.289  7.292    
width, height, channel= 59 53 3 LAMP, LAPV, TENG, GLVN= 14.091    155.578   15064.461 29.515   
width, height, channel= 43 57 3 LAMP, LAPV, TENG, GLVN= 11.68     122.494   9027.583  14.467   
width, height, channel= 33 38 3 LAMP, LAPV, TENG, GLVN= 15.227    215.813   11499.372 14.623   
width, height, channel= 21 29 3 LAMP, LAPV, TENG, GLVN= 30.044    687.04    36723.563 17.402   
width, height, channel= 24 26 3 LAMP, LAPV, TENG, GLVN= 34.165    916.163   32873.705 16.268   
width, height, channel= 27 29 3 LAMP, LAPV, TENG, GLVN= 23.794    425.774   25384.636 17.814   
width, height, channel= 34 36 3 LAMP, LAPV, TENG, GLVN= 21.466    418.622   25450.394 45.595   
width, height, channel= 27 25 3 LAMP, LAPV, TENG, GLVN= 35.493    1371.96   34031.647 27.735   
width, height, channel= 31 31 3 LAMP, LAPV, TENG, GLVN= 32.344    853.659   33664.824 19.768   
width, height, channel= 21 27 3 LAMP, LAPV, TENG, GLVN= 25.058    507.941   23773.457 17.509   
width, height, channel= 25 25 3 LAMP, LAPV, TENG, GLVN= 22.789    441.146   29400.438 26.38    
width, height, channel= 42 40 3 LAMP, LAPV, TENG, GLVN= 21.993    472.345   24368.861 30.567   
width, height, channel= 35 37 3 LAMP, LAPV, TENG, GLVN= 14.227    165.653   8460.275  15.122   
width, height, channel= 38 40 3 LAMP, LAPV, TENG, GLVN= 14.079    234.285   17495.216 46.679   
width, height, channel= 37 36 3 LAMP, LAPV, TENG, GLVN= 22.988    491.158   30618.453 33.489   
width, height, channel= 26 24 3 LAMP, LAPV, TENG, GLVN= 25.411    444.214   17505.679 12.809   
width, height, channel= 20 19 3 LAMP, LAPV, TENG, GLVN= 31.814    739.832   29998.632 15.121   
width, height, channel= 26 29 3 LAMP, LAPV, TENG, GLVN= 25.188    628.759   23904.308 27.538   
width, height, channel= 20 18 3 LAMP, LAPV, TENG, GLVN= 53.758    3219.657  53388.233 20.585   
width, height, channel= 15 8 3 LAMP, LAPV, TENG, GLVN= 57.087    3182.417  50098.4   22.675   
width, height, channel= 15 13 3 LAMP, LAPV, TENG, GLVN= 73.756    4562.999  101201.785 43.268   
width, height, channel= 17 11 3 LAMP, LAPV, TENG, GLVN= 52.88     2195.02   20917.508 12.569   
width, height, channel= 19 9 3 LAMP, LAPV, TENG, GLVN= 26.064    587.317   10444.702 11.152   
width, height, channel= 23 23 3 LAMP, LAPV, TENG, GLVN= 48.769    2175.254  58822.563 43.02    
width, height, channel= 22 21 3 LAMP, LAPV, TENG, GLVN= 58.095    2884.137  79223.545 41.525   
width, height, channel= 25 23 3 LAMP, LAPV, TENG, GLVN= 57.524    3482.767  65181.499 33.438   
width, height, channel= 22 20 3 LAMP, LAPV, TENG, GLVN= 54.445    2863.122  61617.968 38.09    
width, height, channel= 25 23 3 LAMP, LAPV, TENG, GLVN= 58.407    3261.967  59562.87  26.54    
width, height, channel= 15 14 3 LAMP, LAPV, TENG, GLVN= 58.293    2934.196  63115.229 34.124   
width, height, channel= 20 15 3 LAMP, LAPV, TENG, GLVN= 57.503    2968.007  46020.053 20.817   
width, height, channel= 16 15 3 LAMP, LAPV, TENG, GLVN= 48.175    2101.133  63936.067 34.159   
width, height, channel= 14 11 3 LAMP, LAPV, TENG, GLVN= 39.776    1515.345  42567.442 25.157   
width, height, channel= 15 14 3 LAMP, LAPV, TENG, GLVN= 41.738    1279.875  55714.981 27.872   
width, height, channel= 16 13 3 LAMP, LAPV, TENG, GLVN= 32.204    942.192   23711.625 22.412   
width, height, channel= 78 71 3 LAMP, LAPV, TENG, GLVN= 21.154    923.234   26578.055 23.612   
width, height, channel= 84 73 3 LAMP, LAPV, TENG, GLVN= 20.782    848.777   24309.136 25.149   
width, height, channel= 24 23 3 LAMP, LAPV, TENG, GLVN= 41.403    1285.303  37974.388 20.438   
width, height, channel= 21 24 3 LAMP, LAPV, TENG, GLVN= 33.782    838.371   34920.976 25.573   
width, height, channel= 20 19 3 LAMP, LAPV, TENG, GLVN= 39.088    1390.708  55138.063 30.483   
width, height, channel= 22 22 3 LAMP, LAPV, TENG, GLVN= 35.638    954.82    51324.517 36.172   
width, height, channel= 28 26 3 LAMP, LAPV, TENG, GLVN= 32.809    1031.716  45147.626 35.328   
width, height, channel= 23 25 3 LAMP, LAPV, TENG, GLVN= 35.876    909.606   56487.183 37.326   
width, height, channel= 22 24 3 LAMP, LAPV, TENG, GLVN= 28.845    539.301   36379.398 30.116   
width, height, channel= 20 11 3 LAMP, LAPV, TENG, GLVN= 29.391    340.49    56174.255 34.924   
width, height, channel= 19 24 3 LAMP, LAPV, TENG, GLVN= 27.77     590.651   32688.873 28.344   
width, height, channel= 34 34 3 LAMP, LAPV, TENG, GLVN= 30.647    763.688   29853.986 30.348   
width, height, channel= 39 33 3 LAMP, LAPV, TENG, GLVN= 36.961    1058.917  39233.686 30.881   
width, height, channel= 45 37 3 LAMP, LAPV, TENG, GLVN= 24.538    595.53    30209.57  43.494   
width, height, channel= 34 32 3 LAMP, LAPV, TENG, GLVN= 31.13     1099.956  40976.664 30.636   
width, height, channel= 35 20 3 LAMP, LAPV, TENG, GLVN= 28.071    725.267   27801.94  15.395   
width, height, channel= 122 96 3 LAMP, LAPV, TENG, GLVN= 7.37      123.374   6739.476  38.748   
width, height, channel= 37 38 3 LAMP, LAPV, TENG, GLVN= 22.517    527.752   22646.257 38.513   
width, height, channel= 37 38 3 LAMP, LAPV, TENG, GLVN= 22.929    732.432   24594.08  32.595   
width, height, channel= 28 28 3 LAMP, LAPV, TENG, GLVN= 31.567    1211.383  32332.286 22.088   
width, height, channel= 24 21 3 LAMP, LAPV, TENG, GLVN= 32.528    929.241   29530.127 13.782   
width, height, channel= 31 26 3 LAMP, LAPV, TENG, GLVN= 28.49     731.933   25827.911 24.513   
width, height, channel= 14 13 3 LAMP, LAPV, TENG, GLVN= 35.745    783.03    24425.835 25.185   
width, height, channel= 14 12 3 LAMP, LAPV, TENG, GLVN= 45.292    1523.633  32035.595 21.183   
width, height, channel= 27 28 3 LAMP, LAPV, TENG, GLVN= 25.908    538.1     14888.653 10.734   
width, height, channel= 22 25 3 LAMP, LAPV, TENG, GLVN= 35.91     1024.502  28337.138 15.328   
width, height, channel= 17 18 3 LAMP, LAPV, TENG, GLVN= 41.209    1464.654  50888.941 41.202   
width, height, channel= 18 18 3 LAMP, LAPV, TENG, GLVN= 44.356    1481.771  55690.994 20.544   
width, height, channel= 20 22 3 LAMP, LAPV, TENG, GLVN= 40.018    1654.93   48153.6   25.661   
width, height, channel= 12 10 3 LAMP, LAPV, TENG, GLVN= 47.767    2428.129  53309.95  23.445   
width, height, channel= 13 12 3 LAMP, LAPV, TENG, GLVN= 60.17     2121.128  80464.564 18.075   
width, height, channel= 10 8 3 LAMP, LAPV, TENG, GLVN= 24.675    177.499   14075.85  7.395    
width, height, channel= 20 18 3 LAMP, LAPV, TENG, GLVN= 37.583    815.116   29719.917 31.142   
width, height, channel= 17 18 3 LAMP, LAPV, TENG, GLVN= 50.211    1735.33   59175.575 37.13    
width, height, channel= 17 17 3 LAMP, LAPV, TENG, GLVN= 46.41     1895.079  57585.315 24.834   
width, height, channel= 17 17 3 LAMP, LAPV, TENG, GLVN= 42.875    1750.882  57030.09  19.109   
width, height, channel= 23 14 3 LAMP, LAPV, TENG, GLVN= 26.085    531.035   22740.323 15.094   
width, height, channel= 14 11 3 LAMP, LAPV, TENG, GLVN= 34.779    783.622   35900.429 31.787   
width, height, channel= 16 7 3 LAMP, LAPV, TENG, GLVN= 45.223    1215.842  46306.089 14.28    
width, height, channel= 151 125 3 LAMP, LAPV, TENG, GLVN= 7.382     122.232   6528.902  52.425   
width, height, channel= 27 30 3 LAMP, LAPV, TENG, GLVN= 33.228    828.46    31517.489 14.332   
width, height, channel= 31 30 3 LAMP, LAPV, TENG, GLVN= 31.322    815.761   32222.08  14.975   
width, height, channel= 27 28 3 LAMP, LAPV, TENG, GLVN= 33.041    776.178   30560.643 17.242   
